"","Site","Plot","Colony","Date","CD"
"117","Luminao","B",4,2021-05-18,787412.358223984
"118","Luminao","B",4,2021-08-04,1189878.77569965
"119","Luminao","B",4,2022-09-01,1408153.41977578
"120","Luminao","B",5,2021-05-18,1149505.69755205
"121","Luminao","B",5,2021-08-04,2016937.68108434
"122","Luminao","B",5,2022-09-01,1387619.27808553
"123","Luminao","B",6,2021-05-18,984758.170226733
"124","Luminao","B",6,2021-08-04,2243907.14784624
"125","Luminao","B",6,2022-09-01,2727926.65313237
"126","Luminao","34",7,2021-05-18,2461487.944395
"127","Luminao","34",7,2021-08-04,672080.665038922
"128","Luminao","34",7,2022-09-01,2791685.8338142
"129","Luminao","34",8,2021-05-18,1870656.40822706
"130","Luminao","34",8,2021-08-04,1793858.16441189
"131","Luminao","34",8,2022-09-01,3037050.54116206
"132","Luminao","34",9,2021-05-18,986859.200226374
"133","Luminao","34",9,2021-08-04,1363274.47832517
"134","Luminao","34",9,2022-09-01,3637022.69987966
"135","Luminao","34",10,2021-05-18,1343881.42771219
"136","Luminao","34",10,2021-08-04,2100173.88876653
"137","Luminao","34",10,2022-09-01,1617254.03333807
"138","Luminao","34",11,2021-05-18,1413898.24185986
"139","Luminao","34",11,2021-08-04,1236165.15449069
"140","Luminao","34",11,2022-09-01,2193765.57050581
"141","Luminao","34",12,2021-05-18,879280.041466996
"142","Luminao","34",12,2021-08-04,1571696.14023087
"143","Luminao","34",12,2022-09-01,1255860.83689941
"144","West","A",1,2021-06-16,75626.251456377
"145","West","A",1,2021-09-30,1067877.41856377
"146","West","A",1,2022-03-11,572612.493522711
"147","West","A",1,2022-05-27,430236.435697532
"148","West","A",1,2022-08-22,361068.25804212
"149","West","A",2,2021-06-16,176842.650138198
"150","West","A",2,2021-09-30,1219126.70988646
"151","West","A",2,2022-03-11,416336.048568096
"152","West","A",2,2022-05-27,650246.470838834
"153","West","A",2,2022-08-22,313523.327831608
"154","West","A",3,2021-06-16,92601.5246294945
"155","West","A",3,2021-09-30,923653.047106631
"156","West","A",3,2022-03-11,637479.355914426
"157","West","A",3,2022-05-27,845653.31282044
"158","West","A",3,2022-08-22,907076.259216249
"159","West","A",4,2021-06-16,82824.9049203098
"160","West","A",4,2021-09-30,381525.770252404
"161","West","A",4,2022-03-11,462274.857301302
"162","West","A",4,2022-05-27,1258784.02785932
"163","West","A",4,2022-08-22,816542.482942202
"164","West","A",5,2021-06-16,114640.209219006
"165","West","A",5,2021-09-30,1222167.31711886
"166","West","A",5,2022-03-11,625979.417567424
"167","West","A",6,2021-06-16,68860.6480380915
"168","West","A",6,2021-09-30,621249.896328582
"169","West","A",6,2022-03-11,822803.160296899
"170","West","A",6,2022-05-27,1057983.70171717
"171","West","A",6,2022-08-22,463505.853484694
"172","West","A",7,2021-06-16,393835.022084821
"173","West","A",7,2021-09-30,1033335.24448564
"174","West","A",7,2022-03-11,892789.426134286
"175","West","A",7,2022-05-27,655920.793419261
"176","West","A",7,2022-08-22,240401.138706233
"177","West","A",8,2021-06-16,50086.0761807998
"178","West","A",8,2021-09-30,802402.324101744
"179","West","A",8,2022-03-11,1030730.54897251
"180","West","A",8,2022-05-27,899646.003568021
"181","West","A",8,2022-08-22,683075.22052581
"182","West","A",9,2021-06-16,169255.972630249
"183","West","A",9,2021-09-30,829689.940530244
"184","West","A",9,2022-03-11,889109.128333549
"185","West","A",9,2022-05-27,444779.717668493
"186","West","A",9,2022-08-22,787616.3616952
"187","West","A",10,2021-06-16,31537.1028579053
"188","West","A",10,2021-09-30,546889.462695836
"189","West","A",10,2022-03-11,1098463.55246434
"190","West","A",10,2022-05-27,324653.258451813
"191","West","A",10,2022-08-22,571561.067794643
"192","West","B",1,2021-06-16,522499.622476374
"193","West","B",1,2021-09-30,1394913.07296759
"194","West","B",1,2022-03-11,301092.726654635
"195","West","B",1,2022-05-27,924564.110109057
"196","West","B",1,2022-08-22,501014.243876752
"197","West","B",2,2021-06-16,545495.820745582
"198","West","B",2,2021-09-30,1037417.25148026
"199","West","B",2,2022-03-11,584273.886205749
"200","West","B",2,2022-08-22,485507.936524635
"201","West","B",3,2021-06-16,558383.567051602
"202","West","B",3,2021-09-30,466813.062004473
"203","West","B",3,2022-03-11,690767.964519894
"204","West","B",3,2022-05-27,702211.331761367
"205","West","B",3,2022-08-22,766299.263701517
"206","West","B",4,2021-06-16,509070.647529096
"207","West","B",4,2021-09-30,700100.134053054
"208","West","B",4,2022-03-11,438223.172928493
"209","West","B",4,2022-05-27,1496566.34712509
"210","West","B",4,2022-08-22,655641.055531686
"211","West","B",5,2021-06-16,436844.423120677
"212","West","B",5,2021-09-30,1325080.48644814
"213","West","B",5,2022-03-11,927130.026495398
