"","Site","Plot","Date","Colony","Verified","RED","REDsd","GRN","GRNsd","FSC","FSCsd","SSC","SSCsd","Year","Month","Day","meantemp","mintemp","maxtemp","range"
"7","East","A",2021-09-30,6,"Yes",3.83352968910725,0.290132641083935,1.86725071168723,0.371982489343879,2.84157987100146,0.428808981658801,3.17511421074639,0.376408340759271,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"8","East","A",2021-09-30,1,"Yes",3.83581838773367,0.300261162210971,1.88605207393405,0.375698920925511,2.86341904599874,0.416178078099924,3.25073634887629,0.415641042824039,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"9","East","A",2021-09-30,5,"Yes",3.81176655333876,0.321770550182483,1.90224843790717,0.424509280699178,2.85496004071661,0.455160332987044,3.21237720806189,0.425466357168511,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"10","East","A",2021-09-30,9,"Yes",3.85887651005291,0.275517799472899,1.94145190962963,0.396235951963165,2.85288554095238,0.437226101820846,3.26850719047619,0.436045324127658,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"11","East","A",2021-09-30,2,"Yes",3.85388769486853,0.27556937702216,1.89728482866836,0.367839134580635,2.85547668935539,0.424713070687346,3.27643775572519,0.445744642497514,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"12","East","A",2021-09-30,7,"Yes",3.85239486200418,0.296194243520691,1.83969884237996,0.378215339979573,2.85169996346555,0.427562828354886,3.1961385697286,0.380873534708183,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"13","East","A",2021-09-30,8,"Yes",3.75348857506514,0.346736346935701,1.85801485067148,0.424687441859198,2.80364370735618,0.459308200298756,3.18504373962718,0.400369803980001,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"14","East","A",2021-09-30,10,"Yes",3.83917412921585,0.273515773141141,1.94851582883643,0.40581346258968,2.85592211572513,0.437279779806283,3.2382400796796,0.450487528212598,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"15","East","A",2021-09-30,3,"Yes",3.80319019658998,0.291570645705019,1.91993118385374,0.447007734416633,2.8764352438373,0.455309580433533,3.2324527863599,0.430291051912342,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"16","East","A",2021-09-30,4,"Yes",3.67787624364233,0.340598961542467,1.85729927727646,0.420821583156247,2.81995100082034,0.450842197875571,3.2358389392945,0.393985285083243,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"17","East","A",2022-03-11,8,"Yes",3.80781604097117,0.225663745446837,2.10738234522003,0.360351741379029,2.8296899461305,0.484978001056389,3.3774008952959,0.417453409118407,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"18","East","A",2022-03-11,1,"Yes",3.80099981072797,0.321802512333666,1.84351987586207,0.475334507735568,2.78846017471264,0.505675633629528,3.37835745210728,0.431150185219834,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"19","East","A",2022-03-11,9,"Yes",3.8011550185238,0.223325994481514,2.05334415873468,0.332964648170685,2.83583115018524,0.48549210566764,3.37831162752921,0.395546272661749,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"20","East","A",2022-03-11,3,"Yes",3.80829025700062,0.328360261244651,1.88744307280647,0.467415084286256,2.72971806285003,0.512260467737411,3.22294458431861,0.442783232954073,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"21","East","A",2022-03-11,2,"Yes",3.90770755615697,0.26672187250737,1.93521299864682,0.426817735356035,2.78357938294993,0.496713056839091,3.27120290392422,0.414108320945176,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"22","East","A",2022-03-11,4,"Yes",3.81034904181495,0.300944329856627,2.03433228380783,0.488137589331082,2.83168722864769,0.511440762681732,3.29206243060498,0.456794900515731,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"23","East","A",2022-03-11,7,"Yes",3.86579865949657,0.247646106325503,1.93081321189931,0.38116637486585,2.81139530709382,0.465824474428578,3.27217840549199,0.380162354581937,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"24","East","A",2022-03-11,5,"Yes",3.72602351836735,0.352830502687453,1.95978377040816,0.536027761368738,2.76709099795918,0.517231097164744,3.29658566530612,0.497383466821871,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"25","East","A",2022-03-11,6,"Yes",3.88538096748466,0.207951287703061,1.95661908773006,0.312533313355236,2.87217544233129,0.466043324237187,3.34641906809816,0.358329055845845,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"26","East","A",2022-03-11,10,"Yes",3.7785061635931,0.269997723267094,2.11702512671029,0.430446846415939,2.7609373010113,0.50681670282366,3.408365405116,0.491157998221759,2022,"03","11",28.3447708333333,28.06,28.754,0.694000000000003
"27","East","A",2022-05-27,2,"Yes",3.87975050401167,0.260464593635153,1.88099596985169,0.405856481988943,2.8206330678337,0.487851026284207,3.31824100194505,0.36594127008501,2022,"05","27",29.34475,28.754,30.457,1.703
"28","East","A",2022-05-27,9,"Yes",3.91467825320513,0.295712399973351,1.97394320364892,0.434403720945609,2.78170152662722,0.475398652177914,3.42863926577909,0.458854255107083,2022,"05","27",29.34475,28.754,30.457,1.703
"29","East","A",2022-05-27,8,"Yes",3.89891580426099,0.266176688700698,1.97506610252996,0.347643093319342,2.83482844562805,0.461187412596575,3.32704418419885,0.327633775334671,2022,"05","27",29.34475,28.754,30.457,1.703
