FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
10.379865,0.000000,2.578006,1.159486,1.144067,0.000000,0.764238,99998.000000,1.016192,0.000000,0.411284,0.064265,0.058451,0.000000,0.000000,4.999991,279.000000,,0
11.058288,5.075834,2.124696,1.094727,0.360797,0.009251,0.077030,99998.000000,1.043688,0.705507,0.327297,0.039306,0.000000,0.000000,0.000000,4.999991,2688.000000,,0
11.875478,20.155317,1.939672,1.073141,0.021586,1.449357,0.612378,99998.000000,1.074651,1.304390,0.287728,0.030657,0.000000,0.161175,0.000000,4.999991,3014.000000,,0
10.873262,20.688803,0.437891,0.024670,0.811023,1.498697,0.444912,99998.000000,1.036360,1.315735,0.000000,0.000000,0.000000,0.175714,0.000000,4.999991,5229.000000,,0
10.931854,0.000000,0.154187,1.625130,0.616748,0.000000,0.158911,99998.000000,1.038694,0.000000,0.000000,0.210888,0.000000,0.000000,0.000000,4.999991,7330.000000,,0
10.987361,0.000000,0.551989,0.844944,0.641418,2.507080,0.245643,99998.000000,1.040893,0.000000,0.000000,0.000000,0.000000,0.399168,0.000000,4.999991,8975.000000,,0
11.271065,38.050251,0.351546,0.228197,0.555073,1.689889,0.038612,99998.000000,1.051965,1.580358,0.000000,0.000000,0.000000,0.227858,0.000000,4.999991,9224.000000,,0
10.925687,0.000000,0.610580,0.027754,0.431723,1.073141,0.252425,99998.000000,1.038449,0.000000,0.000000,0.000000,0.000000,0.030657,0.000000,4.999991,9638.000000,,0
11.286484,0.000000,0.000000,0.403970,0.259034,0.181941,0.238269,99998.000000,1.052559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,10132.000000,,0
13.497524,0.000000,1.153318,1.316756,0.878866,0.000000,0.607509,99998.000000,1.130254,0.000000,0.061949,0.119505,0.000000,0.000000,0.000000,4.999991,11410.000000,,0
10.916435,9.180290,0.909703,0.373132,0.629083,0.000000,0.352747,99998.000000,1.038081,0.962856,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,16629.000000,,0
11.092208,0.000000,0.000000,0.308374,0.740097,0.000000,0.232060,99998.000000,1.045018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,17980.000000,,0
10.423037,0.000000,1.171821,0.453310,0.823358,1.659051,0.566499,99998.000000,1.017994,0.000000,0.068861,0.000000,0.000000,0.219860,0.000000,4.999991,20684.000000,,0
10.950356,0.000000,0.000000,0.000000,1.153318,2.405316,0.718301,99107.007812,1.039428,0.000000,0.000000,0.000000,0.061949,0.381172,0.000000,4.996104,22263.000000,,0
11.530099,58.560200,0.000000,0.567408,0.000000,0.000000,0.472076,0.000000,1.061833,1.767603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23448.000000,,0
11.810719,0.000000,0.037005,0.564324,0.644501,0.727762,0.057167,99998.000000,1.072276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,24536.000000,,0
10.546387,38.848942,0.000000,0.000000,0.357714,0.746265,0.060149,99998.000000,1.023104,1.589379,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,27172.000000,,0
12.933200,18.764551,2.140115,0.650669,0.792521,2.861710,0.211105,99998.000000,1.111706,1.273338,0.330437,0.000000,0.000000,0.456626,0.000000,4.999991,28756.000000,,0
11.323488,7.703179,1.048471,1.569623,0.761683,1.307505,0.230314,99998.000000,1.053980,0.886670,0.020557,0.195795,0.000000,0.116443,0.000000,4.999991,31542.000000,,0
10.416869,3.586388,0.252867,1.810155,1.202658,1.344510,1.005272,99998.000000,1.017737,0.554657,0.000000,0.257716,0.080142,0.128564,0.002284,4.999991,32868.000000,,0
10.715992,0.000000,0.000000,0.471812,0.407054,0.548905,0.015716,99998.000000,1.030032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,33337.000000,,0
10.632731,29.505213,0.000000,0.033921,0.259034,1.520283,0.361867,99998.000000,1.026645,1.469899,0.000000,0.000000,0.000000,0.181925,0.000000,4.999991,38323.000000,,0
10.460042,0.000000,1.862578,0.505733,0.465645,1.218077,0.137297,99998.000000,1.019533,0.000000,0.270115,0.000000,0.000000,0.085675,0.000000,4.999991,40120.000000,,0
10.583391,0.000000,0.681506,0.200443,0.339211,1.375347,0.124762,99998.000000,1.024625,0.000000,0.000000,0.000000,0.000000,0.138412,0.000000,4.999991,43257.000000,,0
11.036701,0.000000,1.449357,0.804856,0.302206,1.807071,0.081687,99998.000000,1.042839,0.000000,0.161175,0.000000,0.000000,0.256975,0.000000,4.999991,48800.000000,,0
14.160528,0.000000,0.733930,0.465645,0.000000,0.641418,0.901331,0.000000,1.151079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49201.000000,,0
11.955655,6.707132,0.397802,0.521152,0.416305,2.041435,0.025612,99998.000000,1.077573,0.826537,0.000000,0.000000,0.000000,0.309936,0.000000,4.999991,50413.000000,,0
11.045952,30.985407,0.000000,0.283704,0.326876,0.000000,0.221195,99998.000000,1.043203,1.491157,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,51102.000000,,0
10.645066,0.000000,0.021586,0.000000,0.000000,3.882427,1.144474,0.000000,1.027148,0.000000,0.000000,0.000000,0.000000,0.589103,0.058606,0.000000,51824.000000,,0
