FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
11.224809,11.064455,0.000000,0.000000,0.104847,0.749349,0.400867,99998.000000,1.050179,1.043930,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,1513.000000,,0
12.075921,0.000000,0.622915,0.928205,0.595162,0.000000,0.005433,64384.511719,1.081920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.808782,2598.000000,,0
11.126129,0.000000,0.579743,1.520283,0.292955,0.000000,0.468778,99998.000000,1.046344,0.000000,0.000000,0.181925,0.000000,0.000000,0.000000,4.999991,4157.000000,,0
11.215558,0.000000,0.000000,0.308374,0.255950,0.000000,0.049284,99998.000000,1.049821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,4761.000000,,0
12.075921,4.576268,0.000000,1.196491,0.570492,0.573575,0.182258,0.000000,1.081920,0.660511,0.000000,0.077909,0.000000,0.000000,0.000000,0.000000,5541.000000,,0
11.653449,5.856020,3.626477,0.986796,0.996048,0.459477,0.521942,99998.000000,1.066455,0.767603,0.559485,0.000000,0.000000,0.000000,0.000000,4.999991,6290.000000,,0
12.877693,0.000000,1.230412,0.814107,0.234364,2.824705,0.287165,99998.000000,1.109838,0.000000,0.090050,0.000000,0.000000,0.450973,0.000000,4.999991,14286.000000,,0
10.530968,0.000000,0.000000,0.015419,0.191192,2.584173,0.412315,99998.000000,1.022468,0.000000,0.000000,0.000000,0.000000,0.412322,0.000000,4.999991,16619.000000,,0
11.653449,0.000000,1.369180,0.422472,0.733930,1.181072,1.192317,99998.000000,1.066455,0.000000,0.136461,0.000000,0.000000,0.072276,0.076392,4.999991,17429.000000,,0
12.375044,0.000000,1.544953,1.063890,1.014550,0.000000,0.227016,99998.000000,1.092547,0.000000,0.188915,0.026897,0.006273,0.000000,0.000000,4.999991,18239.000000,,0
10.719076,3.737491,0.000000,0.160354,0.462561,1.011466,0.550465,99998.000000,1.030157,0.572580,0.000000,0.000000,0.000000,0.004951,0.000000,4.999991,20848.000000,,0
12.828353,0.000000,1.128648,1.214993,0.885033,0.000000,0.175986,20981.396484,1.108171,0.000000,0.052559,0.084574,0.000000,0.000000,0.000000,4.321835,21096.000000,,0
11.930985,0.397802,0.431723,1.128648,0.727762,0.000000,0.299583,99998.000000,1.076676,0.000000,0.000000,0.052559,0.000000,0.000000,0.000000,4.999991,22259.000000,,0
11.952572,8.526538,0.687674,0.000000,0.080177,1.116313,0.400285,99998.000000,1.077461,0.930773,0.000000,0.000000,0.000000,0.047786,0.000000,4.999991,24008.000000,,0
10.518633,0.000000,0.496482,0.422472,0.511901,2.473158,0.073598,99998.000000,1.021959,0.000000,0.000000,0.000000,0.000000,0.393252,0.000000,4.999991,24600.000000,,0
12.248610,0.129517,0.471812,0.625999,0.752432,1.443190,0.091194,99998.000000,1.088087,0.000000,0.000000,0.000000,0.000000,0.159323,0.000000,4.999991,24756.000000,,0
11.412917,11.338907,1.458608,0.857279,0.194276,0.530403,0.213434,99998.000000,1.057397,1.054571,0.163939,0.000000,0.000000,0.000000,0.000000,4.999991,25068.000000,,0
11.992660,14.977719,0.555073,0.000000,0.240532,0.909703,0.254180,99998.000000,1.078915,1.175446,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,25164.000000,,0
10.975026,42.589516,2.072273,1.063890,0.598245,0.592078,0.199463,99998.000000,1.040406,1.629303,0.316447,0.026897,0.000000,0.000000,0.000000,4.999991,25198.000000,,0
12.754343,24.577398,0.000000,0.037005,0.289871,0.666088,0.496524,0.000000,1.105658,1.390536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25250.000000,,0
10.342860,14.774193,0.265202,0.104847,0.200443,1.844076,0.280762,0.000000,1.014641,1.169504,0.000000,0.000000,0.000000,0.265779,0.000000,0.000000,25537.000000,,0
14.018677,29.795084,2.229543,1.421604,1.776234,1.723810,1.319990,99998.000000,1.146707,1.474145,0.348216,0.152779,0.249500,0.236489,0.120570,4.999991,25712.000000,,0
10.904100,9.781619,1.150235,0.928205,0.548905,1.400017,0.061702,99998.000000,1.037590,0.990411,0.060786,0.000000,0.000000,0.146133,0.000000,4.999991,27190.000000,,0
11.776798,0.505733,1.116313,1.319840,0.666088,2.362144,0.035508,99998.000000,1.071027,0.000000,0.047786,0.120521,0.000000,0.373306,0.000000,4.999991,27436.000000,,0
11.126129,8.785572,0.000000,0.829526,0.413221,1.680638,0.185105,0.000000,1.046344,0.943770,0.000000,0.000000,0.000000,0.225474,0.000000,0.000000,27961.000000,,0
10.481628,0.000000,0.434807,1.168737,0.749349,0.120266,0.427255,99998.000000,1.020429,0.000000,0.000000,0.067717,0.000000,0.000000,0.000000,4.999991,29172.000000,,0
10.626564,0.000000,1.443190,0.289871,0.237448,0.000000,0.186851,99998.000000,1.026393,0.000000,0.159323,0.000000,0.000000,0.000000,0.000000,4.999991,30311.000000,,0
13.001042,23.976068,1.211909,0.185024,0.703092,0.909703,0.065884,0.000000,1.113978,1.379778,0.083470,0.000000,0.000000,0.000000,0.000000,0.000000,30734.000000,,0
10.392200,0.000000,0.277536,1.634382,0.487231,0.943624,0.113508,99998.000000,1.016707,0.000000,0.000000,0.213353,0.000000,0.000000,0.000000,4.999991,31424.000000,,0
10.854760,0.000000,2.951138,2.300469,1.060806,0.000000,0.825988,99998.000000,1.035620,0.000000,0.469990,0.361816,0.025636,0.000000,0.000000,4.999991,32488.000000,,0
10.867095,0.000000,1.036136,0.015419,0.357714,0.074010,0.040558,99998.000000,1.036114,0.000000,0.015417,0.000000,0.000000,0.000000,0.000000,4.999991,32612.000000,,0
11.456089,56.787048,0.000000,1.097811,0.459477,2.115445,0.019985,99998.000000,1.059036,1.754249,0.000000,0.040528,0.000000,0.325402,0.000000,4.999991,32852.000000,,0
13.824401,67.725067,1.566539,1.039220,1.258165,1.948923,0.568315,99998.000000,1.140646,1.830749,0.194941,0.016707,0.099738,0.289795,0.000000,4.999991,33084.000000,,0
10.382948,44.072796,0.000000,0.000000,0.271369,0.650669,0.126314,99998.000000,1.016321,1.644171,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,33239.000000,,0
11.782966,0.000000,0.000000,1.421604,0.653753,0.820275,0.273001,99998.000000,1.071255,0.000000,0.000000,0.152779,0.000000,0.000000,0.000000,4.999991,34468.000000,,0
12.208522,0.000000,1.511032,1.982844,1.372264,0.000000,0.656405,99998.000000,1.086663,0.000000,0.179274,0.297289,0.137438,0.000000,0.000000,4.999991,35132.000000,,0
10.453875,0.000000,1.810155,0.918954,0.511901,0.724679,0.180973,99998.000000,1.019277,0.000000,0.257716,0.000000,0.000000,0.000000,0.000000,4.999991,35187.000000,,0
10.719076,0.000000,1.304422,1.563456,0.499566,0.832609,0.066164,0.000000,1.030157,0.000000,0.115418,0.194086,0.000000,0.000000,0.000000,0.000000,37019.000000,,0
10.793086,25.585781,0.000000,0.000000,0.508817,1.332175,0.008343,99998.000000,1.033146,1.407999,0.000000,0.000000,0.000000,0.124561,0.000000,4.999991,39883.000000,,0
14.132774,0.000000,0.000000,0.289871,0.989880,0.937457,0.021282,99998.000000,1.150227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,40840.000000,,0
10.894849,0.000000,0.351546,0.000000,0.376216,2.149366,0.176415,21901.675781,1.037221,0.000000,0.000000,0.000000,0.000000,0.332310,0.000000,4.340477,41278.000000,,0
10.799253,0.508817,1.696056,1.070057,0.607497,0.955959,0.202568,99998.000000,1.033394,0.000000,0.229440,0.029407,0.000000,0.000000,0.000000,4.999991,42015.000000,,0
10.820839,11.616444,1.726894,1.310589,0.678423,1.338343,0.041523,0.000000,1.034261,1.065073,0.237266,0.117467,0.000000,0.126567,0.000000,0.000000,44190.000000,,0
