FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
10.574141,0.000000,0.943624,1.202658,0.968294,1.927337,0.044045,0.000000,1.024245,0.000000,0.000000,0.080142,0.000000,0.284958,0.000000,0.000000,634.000000,,0
13.028796,25.733799,0.585910,0.138768,0.320709,1.279752,0.382581,99998.000000,1.114904,1.410504,0.000000,0.000000,0.000000,0.107126,0.000000,4.999991,2440.000000,,0
10.521717,14.379474,0.885033,0.484147,0.795605,0.000000,0.030567,86.426323,1.022087,1.157743,0.000000,0.000000,0.000000,0.000000,0.000000,1.936646,2747.000000,,0
12.997959,13.001042,0.283704,1.295170,0.700009,2.318972,0.123791,99998.000000,1.113875,1.113978,0.000000,0.112327,0.000000,0.365295,0.000000,4.999991,4041.000000,,0
10.466209,0.000000,0.000000,1.548037,0.357714,0.687674,0.068105,99998.000000,1.019789,0.000000,0.000000,0.189781,0.000000,0.000000,0.000000,4.999991,6516.000000,,0
10.478544,0.000000,0.000000,0.000000,0.064759,1.529534,0.281732,99998.000000,1.020301,0.000000,0.000000,0.000000,0.000000,0.184559,0.000000,4.999991,7045.000000,,0
12.029665,25.644371,0.000000,0.937457,0.638334,2.405316,0.070239,99998.000000,1.080253,1.408992,0.000000,0.000000,0.000000,0.381172,0.000000,4.999991,8494.000000,,0
11.937153,2.988143,0.585910,1.153318,0.931289,0.437891,0.759824,99998.000000,1.076901,0.475401,0.000000,0.061949,0.000000,0.000000,0.000000,4.999991,9983.000000,,0
10.675903,0.000000,2.306637,1.375347,0.869614,0.869614,0.139314,12300.778320,1.028405,0.000000,0.362979,0.138412,0.000000,0.000000,0.000000,4.089932,10587.000000,,0
11.073706,0.000000,2.066105,0.459477,0.906619,0.123350,0.164150,99998.000000,1.044293,0.000000,0.315152,0.000000,0.000000,0.000000,0.000000,4.999991,11284.000000,,0
11.949488,0.000000,0.000000,2.294302,0.672255,1.289003,0.262329,99998.000000,1.077349,0.000000,0.000000,0.360651,0.000000,0.110254,0.000000,4.999991,11769.000000,,0
11.005863,23.963734,1.788568,0.730846,0.573575,0.000000,0.419882,99998.000000,1.041624,1.379555,0.252506,0.000000,0.000000,0.000000,0.000000,4.999991,11782.000000,,0
10.275018,14.937631,1.128648,0.869614,1.073141,0.000000,0.392330,99998.000000,1.011783,1.174282,0.052559,0.000000,0.030657,0.000000,0.000000,4.999991,11824.000000,,0
13.488274,0.000000,0.000000,1.029969,0.622915,2.251129,0.071209,99998.000000,1.129956,0.000000,0.000000,0.012824,0.000000,0.352400,0.000000,4.999991,12479.000000,,0
10.305855,0.000000,0.696925,0.996048,0.937457,0.000000,0.351583,99998.000000,1.013084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,14996.000000,,0
11.798385,14.493572,0.360797,0.616748,1.017634,1.208826,0.439479,99998.000000,1.071823,1.161175,0.000000,0.000000,0.007592,0.082364,0.000000,4.999991,15925.000000,,0
10.601893,0.000000,1.708391,0.737014,0.185024,2.821621,0.204508,99998.000000,1.025383,0.000000,0.232587,0.000000,0.000000,0.450499,0.000000,4.999991,16163.000000,,0
12.439802,52.620918,0.952875,0.755516,0.650669,0.000000,0.153284,99998.000000,1.094813,1.721158,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,16882.000000,,0
12.174601,0.783270,0.000000,0.000000,0.000000,0.888117,1.127511,0.000000,1.085455,0.000000,0.000000,0.000000,0.000000,0.000000,0.052121,0.000000,20887.000000,,0
11.304986,0.000000,0.000000,0.900452,0.764767,0.228197,0.344598,99998.000000,1.053270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,24589.000000,,0
11.921734,0.000000,0.915870,0.918954,0.308374,0.351546,0.506896,99998.000000,1.076339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,25814.000000,,0
12.205438,4.850721,0.354630,0.444058,0.518068,0.296039,0.109045,99998.000000,1.086553,0.685806,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,26999.000000,,0
10.472377,0.000000,1.060806,0.983713,0.703092,1.258165,0.287359,99998.000000,1.020045,0.000000,0.025636,0.000000,0.000000,0.099738,0.000000,4.999991,28792.000000,,0
12.470639,0.000000,2.214124,0.672255,0.567408,0.937457,0.064613,99998.000000,1.095889,0.000000,0.345202,0.000000,0.000000,0.000000,0.000000,4.999991,29779.000000,,0
10.265766,0.000000,0.360797,0.703092,0.471812,0.000000,0.044627,99998.000000,1.011391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,30021.000000,,0
10.447707,0.000000,1.214993,1.184156,0.255950,0.000000,0.350225,99998.000000,1.019021,0.000000,0.084574,0.073409,0.000000,0.000000,0.000000,4.999991,30679.000000,,0
