FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
14.798862,24.716166,0.000000,1.134816,0.456393,2.306637,0.122433,99998.000000,1.170228,1.392981,0.000000,0.054925,0.000000,0.362979,0.000000,4.999991,803.000000,,0
10.666653,19.930204,1.131732,0.185024,0.339211,0.000000,0.139314,99998.000000,1.028028,1.299512,0.053744,0.000000,0.000000,0.000000,0.000000,4.999991,978.000000,,0
10.281185,0.000000,0.450226,0.000000,0.240532,1.517200,0.192090,99998.000000,1.012043,0.000000,0.000000,0.000000,0.000000,0.181043,0.000000,4.999991,3151.000000,,0
11.409833,0.000000,0.641418,0.440975,0.018502,0.000000,0.313747,99998.000000,1.057279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,4070.000000,,0
12.328788,19.199358,1.498697,0.271369,0.425556,2.473158,0.029493,99998.000000,1.090920,1.283287,0.175714,0.000000,0.000000,0.393252,0.000000,4.999991,4218.000000,,0
11.607193,0.000000,1.757731,1.597377,0.789437,0.000000,0.192745,99998.000000,1.064727,0.000000,0.244952,0.203407,0.000000,0.000000,0.000000,4.999991,4728.000000,,0
11.810719,0.000000,0.000000,0.000000,0.561240,4.826051,0.153090,0.000000,1.072276,0.000000,0.000000,0.000000,0.000000,0.683592,0.000000,0.000000,6752.000000,,0
11.101460,14.379474,1.251998,1.699140,0.225113,0.064759,0.109186,99998.000000,1.045380,1.157743,0.097604,0.230229,0.000000,0.000000,0.000000,4.999991,6774.000000,,0
10.749913,0.000000,1.264333,0.487231,0.360797,0.000000,0.071791,99998.000000,1.031405,0.000000,0.101861,0.000000,0.000000,0.000000,0.000000,4.999991,9784.000000,,0
11.027450,0.000000,0.000000,0.268285,0.607497,1.353761,0.184302,99998.000000,1.042475,0.000000,0.000000,0.000000,0.000000,0.131542,0.000000,4.999991,12636.000000,,0
15.868919,0.000000,0.000000,0.721595,0.820275,0.098680,0.201404,99998.000000,1.200547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,24245.000000,,0
10.336692,0.000000,0.635250,0.274453,0.329960,0.000000,0.189568,99998.000000,1.014382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,29266.000000,,0
10.321274,0.000000,0.000000,0.000000,0.000000,3.759078,0.669599,0.000000,1.013733,0.000000,0.000000,0.000000,0.000000,0.575081,0.000000,0.000000,34386.000000,,0
10.827006,6.176729,0.000000,1.042304,0.123350,0.733930,0.515151,99998.000000,1.034508,0.790759,0.000000,0.017994,0.000000,0.000000,0.000000,4.999991,37599.000000,,0
10.984278,0.000000,0.814107,0.373132,1.754647,2.932636,1.397313,75088.437500,1.040771,0.000000,0.000000,0.000000,0.244190,0.467258,0.145294,4.875573,41994.000000,,0
11.443754,0.000000,1.332175,0.000000,0.077093,1.282835,0.622062,99998.000000,1.058568,0.000000,0.124561,0.000000,0.000000,0.108171,0.000000,4.999991,46722.000000,,0
10.737578,35.851547,0.126433,1.165653,0.656836,1.816322,0.198299,99998.000000,1.030906,1.554508,0.000000,0.066569,0.000000,0.259193,0.000000,4.999991,48384.000000,,0
13.432766,0.000000,0.533487,0.385467,1.147151,0.727762,0.006015,0.000000,1.128165,0.000000,0.000000,0.000000,0.059621,0.000000,0.000000,0.000000,49280.000000,,0
12.291782,10.333609,1.073141,0.706176,0.425556,5.310198,0.009702,99998.000000,1.089615,1.014252,0.030657,0.000000,0.000000,0.725111,0.000000,4.999991,51327.000000,,0
11.493094,0.000000,1.140983,2.137031,0.653753,0.450226,0.306568,55703.886719,1.060437,0.000000,0.057279,0.329811,0.000000,0.000000,0.000000,4.745885,52020.000000,,0
12.964038,0.000000,1.221161,1.082392,0.875782,0.000000,0.461016,99998.000000,1.112740,0.000000,0.086773,0.034385,0.000000,0.000000,0.000000,4.999991,56540.000000,,0
10.598810,0.000000,2.429986,0.888117,0.925122,0.000000,0.319951,99998.000000,1.025257,0.000000,0.385604,0.000000,0.000000,0.000000,0.000000,4.999991,58121.000000,,0
