FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
11.687370,0.000000,1.918085,1.517200,1.057722,2.756862,0.484106,99998.000000,1.067717,0.000000,0.282868,0.181043,0.024372,0.440415,0.000000,4.999991,1807.000000,,0
11.915566,17.009903,1.884164,0.006167,0.894284,2.303553,0.156777,99998.000000,1.076115,1.230702,0.275119,0.000000,0.000000,0.362398,0.000000,4.999991,5679.000000,,0
11.320405,2.645848,0.000000,0.718511,0.551989,2.442321,0.119118,0.000000,1.053862,0.422565,0.000000,0.000000,0.000000,0.387803,0.000000,0.000000,7219.000000,,0
10.447707,0.000000,0.425556,0.000000,0.925122,2.800035,0.599942,99998.000000,1.019021,0.000000,0.000000,0.000000,0.000000,0.447163,0.000000,4.999991,15764.000000,,0
13.219988,3.681984,1.400017,1.683721,1.393850,0.148019,0.367882,3620.154297,1.121231,0.566082,0.146133,0.226270,0.144216,0.000000,0.000000,3.558727,16901.000000,,0
12.227024,4.381993,0.351546,0.474896,0.551989,1.837908,0.069851,99998.000000,1.087321,0.641672,0.000000,0.000000,0.000000,0.264324,0.000000,4.999991,17162.000000,,0
10.836258,0.000000,2.078440,0.391635,0.326876,1.766982,0.523106,99998.000000,1.034879,0.000000,0.317737,0.000000,0.000000,0.247232,0.000000,4.999991,17918.000000,,0
14.068016,33.782356,0.604413,0.718511,0.687674,1.483278,0.395822,99998.000000,1.148233,1.528690,0.000000,0.000000,0.000000,0.171223,0.000000,4.999991,18681.000000,,0
11.021282,0.000000,0.555073,0.000000,0.666088,0.000000,0.022508,99998.000000,1.042232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,20469.000000,,0
12.285615,14.909877,1.066974,0.000000,0.561240,0.000000,0.003104,99998.000000,1.089397,1.173474,0.028154,0.000000,0.000000,0.000000,0.000000,4.999991,22591.000000,,0
