FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,P01.R1
2406.225830,8189.528320,13.852155,11.298819,19.862362,90.541656,17.257689,5952.895996,3.381336,3.913259,1.141517,1.053033,1.298031,1.956848,1.236983,3.774728,236.000000,,0
5679.358887,11443.026367,368.580780,200.365921,1784.300537,12599.172852,2299.576416,46482.628906,3.754299,4.058541,2.566533,2.301824,3.251468,4.100342,3.361648,4.667291,321.000000,,1
478.327972,7110.543457,47.517330,21.845205,208.217117,2880.979736,104.080238,99998.000000,2.679726,3.851903,1.676852,1.339356,2.318516,3.459540,2.017368,4.999991,372.000000,,0
118.467995,10758.239258,149.286880,75.681114,336.978638,2302.877441,458.101196,99998.000000,2.073601,4.031741,2.174022,1.878988,2.527602,3.362271,2.660961,4.999991,395.000000,,1
349.427704,781.592102,28.715775,18.727545,36.986362,244.762512,38.914650,26093.156250,2.543357,2.892980,1.458121,1.272481,1.568042,2.388745,1.590113,4.416527,450.000000,,0
11.943320,150.603638,5.091253,0.000000,1.523367,0.000000,1.216183,99998.000000,1.077125,2.177835,0.706825,0.000000,0.182805,0.000000,0.084999,4.999991,486.000000,,0
113.111534,263.021332,26.816193,13.586953,27.476112,192.995789,44.697643,99998.000000,2.053507,2.419991,1.428397,1.133122,1.438955,2.285548,1.650285,4.999991,558.000000,,0
161.939453,0.000000,5.418129,2.269632,3.867008,72.255081,7.329114,12300.778320,2.209353,0.000000,0.733849,0.355955,0.587375,1.858868,0.865052,4.089932,596.000000,,0
6159.290039,8120.486328,265.972473,149.086441,924.847168,6769.133301,1111.903564,39512.515625,3.789531,3.909582,2.424837,2.173438,2.966070,3.830533,3.046067,4.596735,684.000000,,1
110.478027,178.307938,19.335041,9.217295,24.524975,113.663528,44.001076,99998.000000,2.043276,2.251171,1.286345,0.964603,1.389609,2.055621,1.643463,4.999991,759.000000,,0
89.502434,100.529884,10.040653,3.842339,6.287743,38.087257,19.205967,99998.000000,1.951835,2.002295,1.001762,0.584596,0.798495,1.580780,1.283436,4.999991,834.000000,,0
781.225098,358.709747,26.791523,13.044215,36.767418,170.980972,35.940876,22474.265625,2.892776,2.554743,1.427997,1.115418,1.565463,2.232948,1.555589,4.351686,865.000000,,0
166.669907,187.078094,21.533749,11.391331,16.698446,127.589691,18.458509,99998.000000,2.221857,2.272023,1.333120,1.056574,1.222676,2.105816,1.266197,4.999991,969.000000,,0
74.453789,1.313673,5.260859,2.470075,1.452441,9.621264,25.978685,0.000000,1.871887,0.118487,0.721057,0.392710,0.162098,0.983232,1.414617,0.000000,1009.000000,,0
295.841553,90.242531,10.638899,5.649409,34.688976,40.785530,0.191738,0.000000,2.471059,1.955411,1.026897,0.752003,1.540192,1.610506,0.000000,0.000000,1077.000000,,0
43.563976,0.000000,5.782010,3.225591,5.704916,0.000000,6.042110,99998.000000,1.639127,0.000000,0.762079,0.508609,0.756249,0.000000,0.781189,4.999991,1141.000000,,0
68.770454,31.158096,5.939281,2.454656,28.348810,78.271454,42.228153,75352.656250,1.837402,1.493571,0.773734,0.389991,1.452535,1.893603,1.625602,4.877099,1174.000000,,0
566.584595,1229.585327,75.539261,39.462605,88.540306,547.348206,94.741966,39915.753906,2.753265,3.089759,1.878173,1.596186,1.947141,2.738264,1.976542,4.601144,1255.000000,,0
54.344727,62.451878,11.782966,5.967034,13.488274,114.320366,11.247172,99998.000000,1.735157,1.795545,1.071255,0.775759,1.129956,2.058124,1.051043,4.999991,1329.000000,,0
26.063761,170.373489,12.347290,4.705785,20.525366,148.290833,24.773426,99998.000000,1.416037,2.231402,1.091572,0.672632,1.312291,2.171114,1.393986,4.999991,1351.000000,,0
152.635818,321.714142,23.581350,12.609407,32.915829,267.603760,45.808453,99998.000000,2.183656,2.507470,1.372569,1.100695,1.517405,2.427492,1.660946,4.999991,1381.000000,,0
1952.851562,5848.964355,360.470551,208.682770,2236.654297,12238.504883,2318.127441,25984.414062,3.290669,3.767079,2.556870,2.319487,3.349599,4.087729,3.365137,4.414713,1497.000000,,1
41.124741,0.881949,11.964907,2.019849,1.079309,385.812714,0.737316,99998.000000,1.614103,0.000000,1.077909,0.305319,0.033146,2.586376,0.000000,4.999991,1531.000000,,0
2394.951660,4872.214844,25.628952,14.068016,27.516201,187.300125,18.040283,5002.730957,3.379297,3.687726,1.408731,1.148233,1.439588,2.272538,1.256243,3.699207,1572.000000,,0
24.413960,150.100983,0.000000,0.616748,5.711084,15.221334,1.343855,99998.000000,1.387638,2.176383,0.000000,0.000000,0.756719,1.182453,0.128353,4.999991,1639.000000,,0
743.039185,1813.485107,66.827705,33.742268,81.419952,564.466064,87.574493,37807.640625,2.871012,3.258514,1.824957,1.528174,1.910731,2.751638,1.942378,4.577579,1883.000000,,0
140.908356,64.169518,12.994875,6.491270,13.312500,42.771458,15.914820,46857.644531,2.148937,1.807329,1.113772,0.812330,1.124260,1.631154,1.201802,4.670781,2010.000000,,0
106.506172,122.594032,17.262770,7.666174,16.457914,76.316368,11.896399,99998.000000,2.027375,2.088469,1.237110,0.884579,1.216375,1.882618,1.075415,4.999991,2128.000000,,0
5570.138672,8119.434570,235.076492,134.827225,717.524353,5251.628906,824.365540,35629.484375,3.745866,3.909526,2.371209,2.129778,2.855837,3.720294,2.916120,4.551809,2250.000000,,1
18.539438,146.594772,20.139898,8.958261,26.985798,264.146881,11.623786,99998.000000,1.268097,2.166118,1.304057,0.952224,1.431135,2.421845,1.065348,4.999991,2424.000000,,0
61.896805,371.661438,26.375217,14.863621,39.274498,179.174469,21.209862,99998.000000,1.791668,2.570148,1.421196,1.172125,1.594111,2.253276,1.326538,4.999991,2439.000000,,0
90.153099,264.998016,11.656532,6.537526,7.851199,156.481232,4.299134,3620.154297,1.954981,2.423243,1.066569,0.815413,0.894936,2.194462,0.633381,3.558727,2476.000000,,0
2733.059082,3946.840332,288.505341,141.423340,284.703094,2040.546875,304.493103,32914.781250,3.436649,3.596250,2.460154,2.150521,2.454392,3.309747,2.483577,4.517391,2552.000000,,1
26.091513,33.054596,7.484234,3.614142,3.330438,30.874392,10.442916,0.000000,1.416499,1.519232,0.874147,0.558005,0.522501,1.489598,1.018822,0.000000,2654.000000,,0
21.444319,304.519196,40.640594,20.611710,32.095554,340.370758,14.870693,99998.000000,1.331312,2.483615,1.608960,1.314114,1.506445,2.531952,1.172331,4.999991,2702.000000,,0
2454.631348,4042.954102,363.400116,223.645065,1677.023438,9307.919922,1875.302002,34977.304688,3.389986,3.606699,2.560385,2.349559,3.224539,3.968853,3.273071,4.543787,2867.000000,,1
75.064369,189.036270,15.279925,4.906229,6.753388,164.825836,1.709409,99998.000000,1.875434,2.276545,1.184121,0.690748,0.829522,2.217025,0.232846,4.999991,2955.000000,,0
34.809242,587.998047,16.969814,8.714645,22.474289,122.470688,12.997716,99998.000000,1.541695,2.769376,1.229677,0.940250,1.351686,2.088032,1.113867,4.999991,2975.000000,,0
28.435156,354.142731,6.266157,0.940540,1.344510,82.591774,5.178868,99998.000000,1.453856,2.549178,0.797001,0.000000,0.128564,1.916937,0.714235,4.999991,3023.000000,,0
309.166382,1370.345703,115.396591,53.903755,110.120308,914.784912,118.813423,99998.000000,2.490192,3.136830,2.062193,1.731619,2.041867,2.961319,2.074866,4.999991,3055.000000,,0
5049.400391,3704.597168,226.448181,132.606934,497.061676,3559.917236,446.285706,12836.126953,3.703240,3.568741,2.354969,2.122566,2.696410,3.551440,2.649613,4.108434,3342.000000,,1
1008.444275,967.193054,75.567017,36.058159,84.953918,595.676575,77.121674,13917.254883,3.003652,2.985513,1.878332,1.557003,1.929183,2.775011,1.887176,4.143554,3666.000000,,0
92.755775,19.248697,2.189455,2.722941,2.479326,0.000000,15.766359,0.000000,1.967341,1.284401,0.340336,0.435038,0.394334,0.000000,1.197731,0.000000,3756.000000,,0
32.804813,0.000000,12.618659,6.007123,3.808417,138.311844,0.477703,99998.000000,1.515938,0.000000,1.101013,0.778666,0.580745,2.140859,0.000000,4.999991,3845.000000,,0
967.745056,4319.152344,14.869788,7.178944,11.070622,131.755829,2.369401,0.000000,2.985761,3.635399,1.172305,0.856061,1.044172,2.119770,0.374639,0.000000,3889.000000,,0
18.946491,78.200531,19.850027,11.403666,22.350939,390.092957,12.350430,99998.000000,1.277529,1.893210,1.297761,1.057045,1.349296,2.591168,1.091682,4.999991,3984.000000,,0
51.489185,253.421646,19.119181,10.080742,24.228935,72.945839,6.280767,99998.000000,1.711716,2.403844,1.281469,1.003492,1.384334,1.863001,0.798013,4.999991,4010.000000,,0
112.022980,129.039047,6.269241,3.919432,10.762248,60.721901,0.008731,60044.207031,2.049307,2.110721,0.797215,0.593223,1.031903,1.783345,0.000000,4.778471,4075.000000,,0
14.360971,7.931376,0.000000,0.000000,0.000000,0.000000,8.026460,0.000000,1.157184,0.899349,0.000000,0.000000,0.000000,0.000000,0.904524,0.000000,4091.000000,,0
50.810764,96.743050,6.367920,5.609321,1.467860,7.154274,3.920774,0.000000,1.705956,1.985620,0.803998,0.748910,0.166685,0.854566,0.593372,0.000000,4103.000000,,0
208.411392,411.188812,26.439976,15.153492,37.664783,341.187927,61.384983,99998.000000,2.318922,2.614041,1.422261,1.180513,1.575935,2.532994,1.788062,4.999991,4164.000000,,0
114.369705,93.816582,9.682940,2.355976,22.683983,70.762550,38.029594,99998.000000,2.058311,1.972280,0.986007,0.372171,1.355719,1.849803,1.580122,4.999991,4227.000000,,0
199.869446,185.203186,22.841253,9.627433,6.969250,61.825878,0.624094,0.000000,2.300746,2.267648,1.358720,0.983510,0.843186,1.791170,0.000000,0.000000,4279.000000,,0
102.642242,170.706528,25.465515,10.990445,29.690237,310.517059,9.655734,99998.000000,2.011326,2.232250,1.405952,1.041015,1.472614,2.492085,0.984785,4.999991,4348.000000,,0
120.358322,104.187195,6.115054,2.251129,4.863056,36.813675,12.423699,99998.000000,2.080476,2.017814,0.786400,0.352400,0.686909,1.566009,1.094251,4.999991,4384.000000,,0
227.493576,0.000000,11.921734,6.426512,1.103979,6.102719,6.423600,0.000000,2.356969,0.000000,1.076339,0.807975,0.042961,0.785523,0.807778,0.000000,4460.000000,,0
91.297173,82.468422,10.071490,2.880212,9.645935,59.849201,7.607936,12300.778320,1.960457,1.916288,1.003094,0.459424,0.984344,1.777058,0.881267,4.089932,4506.000000,,0
86.230583,14.919128,12.433635,4.348072,0.530403,31.410963,2.534233,0.000000,1.935661,1.173743,1.094598,0.638297,0.000000,1.497081,0.403846,0.000000,4535.000000,,0
160.465424,103.854156,22.030230,10.546387,15.338516,46.154320,27.812414,99998.000000,2.205381,2.016424,1.343019,1.023104,1.185783,1.664212,1.444239,4.999991,4623.000000,,0
321.960815,760.369812,92.197624,49.722202,3412.770508,28284.566406,1408.155884,99998.000000,2.507803,2.881025,1.964720,1.696550,3.533107,4.451550,3.148651,4.999991,4737.000000,,1
88.009903,1223.066284,197.976028,117.712479,5484.654297,10661.268555,3224.938232,99998.000000,1.944532,3.087450,2.296613,2.070822,3.739149,4.027809,3.508521,4.999991,4764.000000,,1
609.621216,623.627563,40.073185,18.067625,205.956741,1011.213440,39.990658,99998.000000,2.785060,2.794925,1.602854,1.256901,2.313776,3.004843,1.601959,4.999991,5089.000000,,0
137.423737,199.628906,7.012422,5.945448,15.921343,63.318409,16.309708,32384.242188,2.138062,2.300223,0.845868,0.774185,1.201980,1.801530,1.212446,4.510334,5295.000000,,0
421.812286,280.148407,27.334261,12.393546,28.697273,234.219208,41.520279,91765.562500,2.625119,2.447388,1.436707,1.093196,1.457841,2.369622,1.618260,4.962680,5349.000000,,0
21.786613,97.427643,8.067060,2.972724,0.151103,0.000000,0.972093,0.000000,1.338190,1.988682,0.906715,0.473155,0.000000,0.000000,0.000000,0.000000,5432.000000,,0
79.878082,90.637253,6.935328,2.716774,5.960867,95.811760,4.401189,0.000000,1.902428,1.957307,0.841067,0.434053,0.775309,1.981419,0.643570,0.000000,5471.000000,,0
