FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,P01.R1
683.078979,633.406128,33.862534,16.445580,26.834694,209.586304,25.894209,15871.038086,2.834471,2.801682,1.529719,1.216049,1.428697,2.321363,1.413203,4.200605,115.000000,,0
77.845901,210.961655,10.984278,5.933114,7.863534,15.449532,6.145245,36246.007812,1.891236,2.324203,1.040771,0.773283,0.895618,1.188915,0.788539,4.559260,179.000000,,0
46.262249,64.151016,2.349809,1.236579,3.231758,0.000000,0.063448,0.000000,1.665227,1.807204,0.371033,0.092222,0.509439,0.000000,0.000000,0.000000,230.000000,,0
300.260559,183.322098,27.016636,14.712518,14.283878,48.612057,10.761071,24511.798828,2.477498,2.263215,1.431631,1.167687,1.154846,1.686744,1.031855,4.389375,379.000000,,0
114.511559,444.385254,40.862621,18.197142,22.082653,171.699493,28.545647,71611.312500,2.058849,2.647760,1.611326,1.260003,1.344051,2.234769,1.455540,4.854981,437.000000,,0
49.250393,147.954697,12.412048,7.194363,12.461389,65.403015,15.825722,87652.781250,1.692410,2.170129,1.093843,0.856992,1.095566,1.815598,1.199363,4.942766,498.000000,,0
452.970398,679.874939,70.993835,31.537395,37.439671,212.944489,79.778557,54120.187500,2.656070,2.832429,1.851221,1.498826,1.573332,2.328266,1.901886,4.733359,602.000000,,0
89.989662,1.076225,2.288134,0.000000,0.508817,13.004127,6.556507,0.000000,1.954193,0.031903,0.359481,0.000000,0.000000,1.114081,0.816673,0.000000,658.000000,,0
19.828440,0.000000,5.920778,2.263464,2.793867,8.575877,23.062855,12300.778320,1.297289,0.000000,0.772379,0.354774,0.446206,0.933279,1.362913,4.089932,751.000000,,0
269.173401,1003.183411,9.201877,3.771412,16.041609,64.419304,11.633904,9431.257812,2.430032,3.001380,0.963876,0.576504,1.205248,1.809016,1.065725,3.974570,770.000000,,0
37.122047,0.000000,1.079309,0.675339,0.373132,0.000000,2.853432,99998.000000,1.569632,0.000000,0.033146,0.000000,0.000000,0.000000,0.455368,4.999991,831.000000,,0
431.427399,283.463440,41.217251,17.352198,25.832479,137.695099,21.942392,13132.527344,2.634908,2.452497,1.615079,1.239354,1.412166,2.138918,1.341284,4.118348,946.000000,,0
18.912569,0.000000,8.782488,3.897846,3.145414,40.619007,1.426318,99998.000000,1.276751,0.000000,0.943618,0.590825,0.497678,1.608729,0.154216,4.999991,1000.000000,,0
58.785313,0.000000,8.252085,3.808417,9.325226,26.535572,6.689412,30155.277344,1.769269,0.000000,0.916564,0.580745,0.969659,1.423828,0.825388,4.479363,1126.000000,,0
158.815628,58.683548,15.905925,8.393937,18.773802,172.633865,32.295525,99998.000000,2.200893,1.768516,1.201559,0.923966,1.273552,2.237126,1.509142,4.999991,1279.000000,,0
35.188541,0.000000,5.732670,2.963473,5.442799,0.370049,1.317467,99998.000000,1.546401,0.000000,0.758357,0.471801,0.735822,0.000000,0.119740,4.999991,1292.000000,,0
1168.863403,53226.527344,68.847549,27.713560,180.685501,1333.513428,310.861481,95421.953125,3.067764,4.726128,1.837888,1.442692,2.256923,3.124997,2.492567,4.979648,1552.000000,,0
87.152626,201.923218,16.214298,6.617703,14.690931,36.739662,15.234888,99998.000000,1.940280,2.305186,1.209898,0.820707,1.167049,1.565135,1.182839,4.999991,1693.000000,,0
755.845947,1048.128906,84.488274,37.510597,60.641724,365.497040,68.826042,42288.398438,2.878433,3.020415,1.926796,1.574154,1.782772,2.562884,1.837753,4.626221,1728.000000,,0
57.647411,169.704315,4.955568,4.172298,3.389029,6.386423,1.445139,99998.000000,1.760780,2.229693,0.695093,0.620375,0.530075,0.805258,0.159910,4.999991,1876.000000,,0
472.703217,545.365356,41.149410,20.164568,38.589909,258.781189,39.029190,18948.058594,2.674588,2.736688,1.614364,1.304589,1.586474,2.412933,1.591390,4.277565,1958.000000,,0
51.923992,60.274757,5.489055,3.447620,3.108409,33.421562,0.445300,0.000000,1.715368,1.780136,0.739498,0.537519,0.492538,1.524027,0.000000,0.000000,2010.000000,,0
257.723480,518.999390,48.238926,19.970293,32.493355,205.907410,37.063782,99998.000000,2.411154,2.715167,1.683398,1.300384,1.511795,2.313672,1.568950,4.999991,2180.000000,,0
58.973419,46.286919,7.919041,2.766114,5.270110,68.477501,3.411056,99998.000000,1.770656,1.665458,0.898673,0.441870,0.721820,1.835548,0.532889,4.999991,2266.000000,,0
332.895752,233.127563,29.175253,15.952181,22.298515,155.540695,23.620884,32217.015625,2.522308,2.367594,1.465015,1.202820,1.348276,2.191844,1.373296,4.508085,2417.000000,,0
104.847115,152.305862,26.187109,14.160528,13.136727,79.464867,10.308647,99998.000000,2.020556,2.182717,1.418088,1.151079,1.118487,1.900175,1.013202,4.999991,2500.000000,,0
655.562744,572.810669,48.784748,21.407314,20.343424,172.529022,17.283163,6275.355469,2.816614,2.758011,1.688284,1.330562,1.308424,2.236862,1.237623,3.797638,2544.000000,,0
223.071487,1.726894,14.401060,6.259990,9.349895,88.509468,8.253437,0.000000,2.348444,0.237266,1.158394,0.796574,0.970807,1.946990,0.916635,0.000000,2694.000000,,0
16.661440,0.000000,1.924253,0.314541,5.137509,18.212561,0.185299,99998.000000,1.221713,0.000000,0.284262,0.000000,0.710753,1.260371,0.000000,4.999991,2729.000000,,0
479.576874,365.830109,40.557331,21.626261,32.592033,263.887848,43.240864,70390.250000,2.680858,2.563279,1.608069,1.334981,1.513111,2.421419,1.635894,4.847513,2839.000000,,0
146.243225,53.379517,19.187023,8.313760,13.266244,111.014595,19.267929,0.000000,2.165076,1.727375,1.283008,0.919797,1.122748,2.045380,1.284835,0.000000,2954.000000,,0
237.370789,0.000000,12.816018,5.325617,10.552554,47.569756,10.486864,99998.000000,2.375427,0.000000,1.107753,0.726370,1.023358,1.677331,1.020646,4.999991,3017.000000,,0
20.448271,0.000000,3.842339,2.719858,5.304030,45.244614,4.089581,99998.000000,1.310657,0.000000,0.584596,0.434546,0.724606,1.655567,0.611679,4.999991,3145.000000,,0
19.254866,0.000000,4.542347,1.060806,2.796951,13.627042,0.030463,0.000000,1.284541,0.000000,0.657280,0.025636,0.446685,1.134402,0.000000,0.000000,3221.000000,,0
197.029327,0.000000,20.778233,10.077659,14.046430,50.625740,18.280611,67157.507812,2.294531,0.000000,1.317609,1.003360,1.147566,1.704371,1.261991,4.827095,3280.000000,,0
399.026550,510.691803,73.772285,37.374912,34.377518,221.837997,39.001415,40049.468750,2.601002,2.708159,1.867893,1.572580,1.536275,2.346036,1.591080,4.602597,3386.000000,,0
43.255604,0.000000,3.990358,0.474896,5.004908,94.485756,4.331149,99998.000000,1.636042,0.000000,0.601012,0.000000,0.699396,1.975366,0.636603,4.999991,3407.000000,,0
62.097248,0.000000,8.800990,3.401364,5.967034,85.943802,2.999906,20981.396484,1.793072,0.000000,0.944532,0.531653,0.775759,1.934215,0.477108,4.321835,3422.000000,,0
44.859146,0.000000,2.349809,0.000000,6.432679,70.774887,3.221101,99998.000000,1.651851,0.000000,0.371033,0.000000,0.808392,1.849879,0.508004,4.999991,3483.000000,,0
531.232605,234.780457,36.742748,16.852633,24.472551,140.874435,23.888346,99998.000000,2.725285,2.370662,1.565172,1.226668,1.388679,2.148832,1.378186,4.999991,3538.000000,,0
11.520848,0.000000,0.848028,0.000000,2.220292,0.000000,0.390001,0.000000,1.061484,0.000000,0.000000,0.000000,0.346410,0.000000,0.000000,0.000000,3599.000000,,0
79.162659,0.000000,3.463039,2.238794,2.938803,4.237057,4.465385,99998.000000,1.898520,0.000000,0.539457,0.350014,0.468170,0.627064,0.649859,4.999991,3623.000000,,0
11.721291,0.000000,0.000000,0.000000,3.102241,0.000000,1.646349,99998.000000,1.068975,0.000000,0.000000,0.000000,0.491676,0.000000,0.216522,4.999991,3640.000000,,0
33.720684,0.000000,8.097898,3.373610,4.200052,50.382122,2.639397,99998.000000,1.527896,0.000000,0.908372,0.528095,0.623255,1.702276,0.421505,4.999991,3708.000000,,0
14.586084,0.000000,0.000000,0.000000,0.000000,0.000000,1.862887,0.000000,1.163939,0.000000,0.000000,0.000000,0.000000,0.000000,0.270186,0.000000,3724.000000,,0
19.661919,0.000000,3.700486,2.904882,0.000000,13.062717,2.672576,0.000000,1.293626,0.000000,0.568259,0.463128,0.000000,1.116034,0.426930,0.000000,3773.000000,,0
23.396326,0.000000,11.249479,7.326963,11.798385,51.473766,7.346383,99998.000000,1.369148,0.000000,1.051132,0.864924,1.071823,1.711586,0.866074,4.999991,3794.000000,,0
39.922081,0.000000,5.427380,3.749826,5.048080,4.585519,0.738092,99998.000000,1.601213,0.000000,0.734590,0.574011,0.703126,0.661389,0.000000,4.999991,3807.000000,,0
31.447968,0.000000,6.540610,3.299600,1.267417,21.922298,0.207225,99998.000000,1.497593,0.000000,0.815618,0.518461,0.102919,1.340886,0.000000,4.999991,3889.000000,,0
100.745743,0.000000,9.945058,7.888204,7.647672,58.020546,5.907764,17936.281250,2.003227,0.000000,0.997607,0.896978,0.883529,1.763582,0.771423,4.253732,3932.000000,,0
379.558899,172.146637,32.955917,15.171994,21.549166,133.322357,21.584105,58808.476562,2.579279,2.235898,1.517933,1.181043,1.333430,2.124903,1.334134,4.769440,4011.000000,,0
72.251999,0.000000,1.976677,0.992964,2.334390,75.530014,4.941515,99998.000000,1.858850,0.000000,0.295936,0.000000,0.368173,1.878120,0.693860,4.999991,4049.000000,,0
839.088379,610.493958,75.067451,36.995613,33.295128,219.852066,28.274847,891.836182,2.923808,2.785681,1.875452,1.568150,1.522381,2.342131,1.451400,2.950285,4156.000000,,0
1317.897461,4722.045898,93.539047,43.934025,53.731064,377.276947,74.239044,61958.031250,3.119882,3.674130,1.970993,1.642801,1.730225,2.576660,1.870632,4.792098,4277.000000,,0
113.469254,0.000000,21.808201,7.573662,11.348159,88.709915,8.765451,5475.697754,2.054878,0.000000,1.338620,0.879306,1.054925,1.947972,0.942774,3.738440,4370.000000,,0
11.508513,0.000000,3.657314,1.911918,4.360406,35.752869,4.284194,99998.000000,1.061019,0.000000,0.563162,0.281469,0.639527,1.553311,0.631869,4.999991,4458.000000,,0
