FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,P01.R1
28.407402,88.395370,3.167000,2.516331,0.548905,3.916348,9.527843,0.000000,1.453431,1.946429,0.500648,0.400768,0.000000,0.592881,0.978995,0.000000,766.000000,,0
16.997568,55.457958,1.363013,0.826442,7.761770,107.079742,27.211422,99998.000000,1.230387,1.743964,0.134500,0.000000,0.889961,2.029707,1.434751,4.999991,800.000000,,0
18.668955,131.829834,2.627345,2.170952,27.852329,284.459473,27.101017,99998.000000,1.271120,2.120014,0.419517,0.336650,1.444862,2.454021,1.432986,4.999991,812.000000,,0
103.755470,172.519760,4.018112,2.830872,26.520153,118.927467,2.516770,99998.000000,2.016011,2.236839,0.604022,0.451920,1.423576,2.075282,0.400843,4.999991,842.000000,,0
403.556549,0.000000,5.381124,3.413699,28.879213,203.107376,31.257278,99998.000000,2.605904,0.000000,0.730873,0.533225,1.460585,2.307726,1.494951,4.999991,1284.000000,,0
63.762466,759.691406,38.207523,18.453093,62.939106,554.900269,68.989876,99998.000000,1.804565,2.880637,1.582149,1.266069,1.798921,2.744215,1.838785,4.999991,1472.000000,,0
17.521803,0.000000,4.520761,2.349809,23.013943,97.637337,16.160027,99998.000000,1.243579,0.000000,0.655212,0.371033,1.361991,1.989616,1.208442,4.999991,1579.000000,,0
399.375000,358.978027,3.422950,3.811501,6.417260,8.255169,0.174283,0.000000,2.601381,2.555068,0.534401,0.581096,0.807350,0.916726,0.000000,0.000000,2265.000000,,0
64.369965,0.000000,2.889463,2.503996,5.112839,19.328875,2.957607,99998.000000,1.808683,0.000000,0.460817,0.398634,0.708662,1.286207,0.470940,4.999991,2487.000000,,0
377.261505,0.000000,8.286006,5.378040,39.018547,232.843857,39.264187,27890.525391,2.576643,0.000000,0.918345,0.730624,1.591271,2.367065,1.593997,4.445457,2669.000000,,0
2936.058594,1800.043091,434.304504,264.387421,495.479736,3762.941406,527.000061,32471.310547,3.467765,3.255283,2.637794,2.422241,2.695026,3.575527,2.721811,4.511500,2809.000000,,1
138.450623,430.992584,24.102503,10.148584,56.839474,493.188507,116.523476,99998.000000,2.141295,2.634470,1.382062,1.006405,1.754650,2.693013,2.066413,4.999991,2991.000000,,0
168.279617,0.000000,0.373132,2.377563,14.641592,122.745140,18.737970,99998.000000,2.226032,0.000000,0.000000,0.376132,1.165588,2.089004,1.272723,4.999991,3050.000000,,0
18.539438,0.000000,0.629083,1.014550,5.899192,1.504864,2.465158,99998.000000,1.268097,0.000000,0.000000,0.006273,0.770793,0.177497,0.391845,4.999991,3330.000000,,0
45.633167,0.000000,3.533965,1.918085,20.118311,153.323486,17.716537,99998.000000,1.659281,0.000000,0.548262,0.282868,1.303591,2.185609,1.248379,4.999991,3618.000000,,0
35.796040,0.000000,4.582436,2.991227,19.748262,81.897934,21.063175,99998.000000,1.553835,0.000000,0.661096,0.475849,1.295529,1.913273,1.323524,4.999991,4246.000000,,0
216.265686,239.902542,27.994181,14.086518,106.314980,721.388245,197.579895,99998.000000,2.334988,2.380035,1.447068,1.148804,2.026594,2.858169,2.295743,4.999991,4574.000000,,0
709.904419,124.792740,18.995831,7.249870,57.450054,504.900543,60.583076,99998.000000,2.851200,2.096189,1.278658,0.860330,1.759290,2.703206,1.782351,4.999991,4655.000000,,0
3349.526123,1300.061035,4.326486,2.269632,4.122959,81.864014,1.412315,0.000000,3.524983,3.113964,0.636135,0.355955,0.615209,1.913093,0.149932,0.000000,5016.000000,,0
57.897194,0.000000,6.111970,2.133947,11.607193,129.708221,14.125051,70866.703125,1.762658,0.000000,0.786181,0.329184,1.064727,2.112967,1.149990,4.850442,5584.000000,,0
250.075790,336.186127,30.664698,13.549948,69.862099,545.513367,92.150070,67033.914062,2.398072,2.526580,1.486639,1.131938,1.844242,2.736805,1.964496,4.826294,5701.000000,,0
66.923302,0.000000,8.406272,5.741921,24.207350,172.831223,26.686762,64384.511719,1.825577,0.000000,0.924603,0.759057,1.383947,2.237622,1.426296,4.808782,5792.000000,,0
